"Name","Purpose Statement","Affiliation"
"Fighting Pretty at Ohio State","We wish to raise awareness and fundraise for the non-profit organization Fighting Pretty. We will purchase Pretty Packages from fightingpret...","Columbus, Community Service/Service Learning, Awareness/Activism, Special Interest"
"Figure Skating Club - Sport Club","The purpose of this club is to unite those interested in promoting, advancing and competing in the sport of figure skating through the devel...","Columbus, Sports and Recreation"
"Film and Video Society","Welcome to FVS! We meet weekly to discuss films we've been watching and new releases, as well as playing film-themed trivia. Our meetings ar...","Columbus, Creative and Performing Arts, Special Interest"
"Finance in Medicine","We aim to equip medical students with the tools and resources to manage their personal finances, navigate student loan debt, and plan for th...","Columbus, Special Interest, Academic/College"
"Financial Literacy for the Youth at Ohio State","The goal of Financial Literacy for the Youth (FLY) is to provide a financial wellness education to the youth of the Columbus area. We will t...","Columbus, Community Service/Service Learning, Awareness/Activism, Media, Journalism, and Creative Writing"
"FIRST Alumni and Robotics at Ohio State","The purpose of FIRST Alumni and Robotics at Ohio State (FROS) is to support the local FIRST community through mentorship and participate as ...","Columbus, Technology, Special Interest, Academic/College, Community Service/Service Learning"
"First Year Leadership Initiative","To create a year-long program for first year students, aimed at developing leadership, communication, and professional development skills an...","Columbus, Community Service/Service Learning, Academic/College"
"First-Generation Medical Student Association","The First-Generation Medical Student Association is an organization which aims to provide support and guidance to first-generation medical s...","Columbus, Academic/College, Awareness/Activism, Special Interest"
"First-Generation Pre-Medical Student Association","The First-Generation Pre-Medical Student Association is an organization which aims to provide guidance for first generation undergraduate st...","Columbus, Academic/College, Community Service/Service Learning"
"First-Generation Pre-Physician Assistant Platform","Representation matters, and while it is desirable by most to strive to be a flawless Pre-Physician Assistant (PA) undergraduate student and ...","Columbus, Academic/College, Community Service/Service Learning, Technology"
"The Fish and Wildlife Society","We aim to foster greater wildlife awareness at Ohio State. By promoting stewardship of wildlife resources and their habitats, we encourage a...","Columbus, Special Interest, Sports and Recreation, Awareness/Activism, Academic/College"
"Fishbowl Improvisational Comedy Group","Fishbowl Improvisational Comedy Group is here to bring together creative-minded students, and to explore their unique talents through improv...","Columbus, Creative and Performing Arts, Special Interest"
"Fisher Board Fellows","The purpose of Fisher Board Fellows is to serve the Central Ohio community through partnerships with nonprofit organizations in the local ar...","Columbus, Community Service/Service Learning, Academic/College, Special Interest"
"Fisher Citizenship Program","To provide an opportunity for undergraduate business students to play an active role in the Fisher community, foster student involvement, bu...","Columbus, Academic/College, Special Interest"
"Fisher College of Business Graduate Programs Veterans Association","The Fisher Veterans Association is dedicated to furthering the opportunities of Fisher College of Business students who have served in the A...","Columbus, Special Interest, Academic/College, Awareness/Activism"
"Fisher Consulting & Strategy Club","The mission of the Fisher Consulting & Strategy Club is to engage and serve students interested in the field of consulting and strategy, bot...","Columbus, Academic/College, Special Interest,"
"Fisher Follies","Fisher Follies is a non-profit organization whose purpose is three-fold: (1) to foster a sense of community at the Fisher College of Busines...","Columbus, Creative and Performing Arts, Community Service/Service Learning"
"Fisher Graduate Finance Association","To serve students by educating them on diverse applications of finance, facilitate networking with finance professionals and each other, and...","Columbus, Academic/College"
"Fisher Graduate Networking Club","The Fisher Graduate Networking Club is a networking group for Fisher Graduate students of various backgrounds and majors.  Every month, we w...","Columbus, Academic/College, Special Interest, Ethnic/Cultural"
"Fisher Graduate Women in Business","Fisher Graduate Women in Business (FGWIB) is dedicated to supporting and empowering women, advancing gender equity in business, and creating...","Columbus, Awareness/Activism, Academic/College, Special Interest, Ethnic/Cultural"
"Fisher Indian Student Association","To position FISA to a spirited active organization that caters to the professional and social needs of Indian Students across all graduate p...","Columbus, Ethnic/Cultural, Academic/College, Creative and Performing Arts,"
"Fisher Ink","Fisher Ink strives to inform and unify the student body, fostering a sense of community, while enriching staff collaboration.  Fisher Ink is...","Columbus, Academic/College, Media, Journalism, and Creative Writing, Special Interest,"
